Artist,Album,EP/LP,Released,Listened,Score,Stars,Re-rate,Vibes
Larry June,Doing It For Me,LP,August 9,August 14,2.5,★★✬,,"rap, hip-hop, usa, west coast,"
Robber Robber,Wild Guess,LP,July 26,July 30,2.5,★★✬,,"indie rock, post-punk, shoegaze,"
Empire of the Sun,Ask That God,LP,July 26,July 29,2.5,★★✬,,"electronic, synthpop, australian, electronica,"
Oneida,Expensive Air,LP,July 19,July 25,2.5,★★✬,,"experimental, psychedelic, noise, indie rock,"
Dr. Dog,Dr. Dog,LP,July 19,July 23,2.5,★★✬,,"indie, indie rock, lo-fi, alternative,"
Peso Pluma,ÉXODO,LP,June 20,July 9,2.5,★★✬,,"mexico, reggaeton, corridos tumbados, corrido tumbado,"
Bacchae,Next Time,LP,July 5,July 8,2.5,★★✬,,"punk, post-punk, punk rock, punk pop,"
Loma,How Will I Live Without a Body?,LP,June 28,July 2,2.5,★★✬,,"indie, female vocalists, usa, rock,"
Ulcerate,Cutting the Throat of God,LP,June 14,June 26,2.5,★★✬,,"technical death metal, death metal, brutal death metal, new zealand,"
John Cale,POPtical Illusion,LP,June 14,June 24,2.5,★★✬,,"experimental, singer-songwriter, rock, avant-garde,"
Kelley Stoltz,La Fleur,LP,June 7,June 20,2.5,★★✬,,"psychedelic rock, indie, indie rock, lo-fi,"
NxWorries,Why Lawd?,LP,June 14,June 18,2.5,★★✬,,"soul, hip-hop, hip hop, neo-soul,"
Habibi,Dreamachine,LP,May 31,June 10,2.5,★★✬,,"garage rock, lo-fi, female vocalists, indie,"
Beak>,>>>>,LP,May 28,June 6,2.5,★★✬,,"krautrock, experimental, psychedelic, electronic,"
Say Anything,...Is Committed,LP,May 24,May 24,2.5,★★✬,,"indie, alternative, rock, emo,"
Orville Peck,Stampede: Vol. 1,LP,May 10,May 16,2.5,★★✬,,"country, alt-country, gothic country, americana,"
Arab Strap,I’m totally fine with it 👍 don’t give a fuck anymore 👍,LP,May 10,May 14,2.5,★★✬,,"indie, indie rock, post-rock, scottish,"
Amen Dunes,Death Jokes,LP,May 10,May 13,2.5,★★✬,,"lo-fi, folk, psychedelic, experimental,"
Camera Obscura,"Look to the East, Look to the West",LP,May 3,May 7,2.5,★★✬,,"indie pop, indie, female vocalists, scottish,"
Sia,Reasonable Woman,LP,May 3,May 7,2.5,★★✬,,"female vocalists, chillout, indie, trip-hop,"
Dua Lipa,Radical Optimism,LP,May 3,May 3,2.5,★★✬,,"pop, electropop, synthpop, british,"
Owen,The Falls of Sioux,LP,April 26,April 30,2.5,★★✬,,"indie, acoustic, singer-songwriter, emo,"
A Certain Ratio,It All Comes Down to This,LP,April 19,April 25,2.5,★★✬,,"post-punk, new wave, manchester, 80s,"
Empty Heaven,Laughing,LP,March 22,April 23,2.5,★★✬,,"indie rock, lo-fi,"
Prefuse 73,New Strategies For Modern Crime Volume 1,LP,March 22,April 23,2.5,★★✬,,"electronic, hip-hop, idm, trip-hop,"
Girl In Red,I'M DOING IT AGAIN BABY!,LP,April 12,April 18,2.5,★★✬,,"dream pop, indie, lo-fi, indie pop,"
Replicant,Infinite Mortality,LP,April 12,April 18,2.5,★★✬,,"death metal, synthpop, synthwave, post-punk,"
Still House Plants,"If I don't make it, I love u",LP,April 12,April 12,2.5,★★✬,,"free jazz, experimental, experimental rock, art rock,"
Jane Weaver,Love in Constant Spectacle,LP,April 5,April 5,2.5,★★✬,,"folk, singer-songwriter, indie, female vocalists,"
Shabazz Palaces,Exotic Birds of Prey,LP,March 29,April 2,2.5,★★✬,,"hip-hop, experimental hip-hop, psychedelic, experimental,"
The Jesus And Mary Chain,Glasgow Eyes,LP,March 22,April 1,2.5,★★✬,,"shoegaze, post-punk, alternative, indie,"
Empress Of,For Your Consideration,LP,March 22,March 27,2.5,★★✬,,"dream pop, synthpop, electropop, electronic,"
Gouge Away,Deep Sage,LP,March 15,March 18,2.5,★★✬,,"hardcore, hardcore punk, post-hardcore, punk,"
Astrel K,The Foreign Department,LP,March 8,March 12,2.5,★★✬,,"post-punk, krautrock, indie pop, psychedelic pop,"
Jophus,True Crime,LP,March 8,March 12,2.5,★★✬,,"indie pop, pop punk, emo-pop, emo"
MIKE • Tony Seltzer,Pinball,LP,March 8,March 11,2.5,★★✬,,"rap, hip-hop, lo-fi, experimental hip hop,"
Stay Inside,Ferried Away,LP,March 1,March 5,2.5,★★✬,,"emo, post-hardcore, screamo, post-rock,"
Bats,Good Game Baby,LP,March 1,March 1,2.5,★★✬,,"math rock, post-hardcore, experimental, post-punk,"
Job For A Cowboy,Moon Healer,LP,February 23,February 29,2.5,★★✬,,"deathcore, death metal, grindcore, metalcore,"
Allie X,Girl With No Face,LP,February 23,February 27,2.5,★★✬,,"synthpop, electropop, canadian, pop,"
Real Estate,Daniel,LP,February 23,February 23,2.5,★★✬,,"lo-fi, indie, surf rock, surf,"
Granddaddy,Blu Wav,LP,February 16,February 21,2.5,★★✬,,"indie, indie rock, alternative, rock,"
serpentwithfeet,GRIP,LP,February 16,February 16,2.5,★★✬,,"gospel, soul, experimental, art pop,"
Helado Negro,PHASOR,LP,February 9,February 13,2.5,★★✬,,"experimental, folk, electronic, psychedelic,"
Itasca,Imitation of War,LP,February 9,February 13,2.5,★★✬,,"folk, psychedelic, singer-songwriter, usa,"
Spectral Voice,Sparagmos,LP,February 9,February 13,2.5,★★✬,,"death metal, death doom metal, doom metal, old school death metal,"
J Mascis,What Do We Do Now,LP,February 2,February 6,2.5,★★✬,,"indie rock, indie, singer-songwriter, alternative rock,"
Goth Babe,Lola,LP,January 26,January 30,2.5,★★✬,,"dream pop, indie pop, lo-fi, garage rock,"
Eliza McLamb,Going Through It,LP,January 19,January 23,2.5,★★✬,,"pop, alternative, singer-songwriter, folk rock,"
Neck Deep,Neck Deep,LP,January 19,January 22,2.5,★★✬,,"pop punk, rock, punk rock, hardcore,"
Mary Halvorson,Cloudward,LP,January 19,January 22,2.5,★★✬,,"jazz, free jazz, avant-garde, guitar,"
Sleater-Kinney,Little Rope,LP,January 19,January 19,2.5,★★✬,,"riot grrrl, indie rock, indie, female vocalists,"
Nailah Hunter,Lovegaze,LP,January 12,January 17,2.5,★★✬,,"ambient, harp, electronic, new age,"
Kid Cudi,INSANO,LP,January 12,January 16,2.5,★★✬,,"hip-hop, rap, alternative rap, hip hop,"
Patrick Holland,Infra,LP,January 10,January 11,2.5,★★✬,,"house, electronic, indie pop, synth pop,"
Avec Plaisir • Swiss Army Wife • Celebration Guns,The Ultimate Emo Album,LP,January 2,January 8,2.5,★★✬,,"indie rock, pop punk, midwest emo, indie"
Lou Hayter,Unfamiliar Skin,EP,October 10,October 16,2.5,★★✬,,"electronic, indie pop, electropop, british,"
Skullpresser,Positions of Power,EP,September 6,September 12,2.5,★★✬,,"hardcore,"
LE SSERAFIM,CRAZY,EP,August 30,September 3,2.5,★★✬,,"k-pop, kpop, pop, korean,"
King Krule,SHHHHHHH!,EP,June 20,June 26,2.5,★★✬,,"indie, experimental, lo-fi, chillout,"
Hozier,Unheard,EP,March 22,March 28,2.5,★★✬,,"blues, indie, soul, singer-songwriter,"
TWICE,With YOU-th,EP,February 23,March 11,2.5,★★✬,,"k-pop, kpop, korean, pop,"
Advance Base,Horrible Occurrences,LP,December 6,December 9,2.0,★★,,"lo-fi, indie pop, indie, pop,"
Hemlock Ernst • Icky Reels,Studying Absence,LP,October 18,October 22,2.0,★★,,"hip-hop, rap, hip hop, alternative,"
John Legend,My Favorite Dream,LP,August 30,September 19,2.0,★★,,"soul, rnb, neo-soul, singer-songwriter,"
The Bug Club,On the Intricate Inner Workings of the System,LP,August 30,September 3,2.0,★★,,"indie rock, power pop, welsh, rock,"
MAVI,shadowbox,LP,August 9,August 14,2.0,★★,,"rap, turkish, turkish pop, hip-hop,"
Ice Spice,Y2K!,LP,July 26,July 26,2.0,★★,,"rap, hip-hop, drill, grah,"
Glass Animals,I Love You So F***ing Much,LP,July 19,July 23,2.0,★★,,"electronic, trip-hop, indie, british,"
Guided By Voices,Strut Of Kings,LP,June 28,July 1,2.0,★★,,"lo-fi, indie rock, indie, rock,"
Camila Cabello,"C,XOXO",LP,June 28,June 28,2.0,★★,,"pop, female vocalists, cuba, cuban,"
The Decemberists,"As It Ever Was, So It Will Be Again",LP,June 14,June 20,2.0,★★,,"indie, indie rock, folk, alternative,"
Good Looks,Lived Here For A While,LP,June 7,June 12,2.0,★★,,"alternative rock, indie rock, rock, 3,"
Winnetka Bowling League,Sha La La,LP,May 31,June 10,2.0,★★,,"alternative, indie pop, indie, usa,"
of Montreal,Lady On The Cusp,LP,May 17,May 21,2.0,★★,,"indie, indie pop, indie rock, alternative,"
Various Artists,Everyone's Getting Involved: A Tribute to Talking Heads' Stop Making Sense,LP,May 17,May 20,2.0,★★,,"electronic, indie, mistagged artist, jazz,"
bladee,Cold Visions,LP,April 24,May 2,2.0,★★,,"cloud rap, drain, hip-hop, hip hop,"
Inter Arma,New Heaven,LP,April 26,May 1,2.0,★★,,"sludge, black metal, sludge metal, post-metal,"
Local Natives,But I'll Wait For You,LP,April 19,April 22,2.0,★★,,"indie, indie rock, folk, indie pop,"
Chicano Batman,Notebook Fantasy,LP,March 29,April 3,2.0,★★,,"rock, psychedelic, psychedelic rock, soul,"
Tomato Flower,No,LP,March 8,March 11,2.0,★★,,"vocal, rock, folk, indie pop,"
Call Me Malcolm,Echoes and Ghosts,LP,March 1,March 6,2.0,★★,,"punk, ska punk, punk rock, rock,"
Uranium Club,Infants Under The Bulb,LP,March 1,March 4,2.0,★★,,"post-punk, art punk, crank wave, spoken word,"
Yard Act,Where's My Utopia?,LP,March 1,March 4,2.0,★★,,"post-punk, crank wave, indie rock, spoken word,"
The Body • Dis Fig,Orchards of a Futile Heaven,LP,February 23,February 27,2.0,★★,,"sludge, doom metal, experimental, sludge metal,"
Laura Jane Grace,Hole In My Head,LP,February 16,February 21,2.0,★★,,"folk punk, punk rock, punk, singer-songwriter,"
Jennifer Lopez,This Is Me...Now,LP,February 16,February 21,2.0,★★,,"pop, latin, rnb, female vocalists,"
David Best,Message - Send - Failure,LP,February 9,February 12,2.0,★★,,"indietronica, krautrock, nu-disco, alternative dance"
Kirin J Callinan,If I Could Sing,LP,February 2,February 5,2.0,★★,,"experimental, noise rock, singer-songwriter, art rock,"
Alkaline Trio,"Blood, Hair, And Eyeballs",LP,January 26,February 1,2.0,★★,,"punk, punk rock, emo, rock,"
PACKS,Melt the Honey,LP,January 19,January 24,2.0,★★,,"indie rock, indie pop, garage rock, rock,"
Vemod,The Deepening,LP,January 19,January 22,2.0,★★,,"black metal, atmospheric black metal, norwegian, norwegian black metal,"
Slift,ILION,LP,January 19,January 22,2.0,★★,,"psychedelic rock, stoner rock, space rock, france,"
21 Savage,american dream,LP,January 12,January 12,2.0,★★,,"trap, hip-hop, rap, hip hop,"
Itzy,BORN TO BE,LP,January 12,January 12,2.0,★★,,"k-pop, kpop, pop, korean,"
LE SSERAFIM,EASY,EP,February 19,February 23,2.0,★★,,"k-pop, kpop, pop, korean,"
Sorry Darling,See This Through,EP,February 9,February 15,2.0,★★,,"alternative rock, poper pop, pop, rock,"
The Asteroid No. 4,Tremble,EP,January 19,January 25,2.0,★★,,"psychedelic, shoegaze, psychedelic rock, neo-psychedelia,"
Coldplay,Moon Music,LP,October 4,October 4,1.5,★✬,,"rock, alternative, britpop, alternative rock,"
Katy Perry,143,LP,September 20,September 20,1.5,★✬,,"pop, female vocalists, pop rock, indie,"
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,LP,April 19,May 9,1.5,★✬,,"country, pop, female vocalists, singer-songwriter,"
Sum 41,Heaven :x: Hell,LP,March 29,April 2,1.5,★✬,,"punk rock, punk, pop punk, rock,"
Chromeo,Adult Contemporary,LP,February 16,February 21,1.5,★✬,,"electronic, funk, electro, dance,"
Green Day,Saviors,LP,January 19,January 19,1.5,★✬,,"punk rock, rock, punk, alternative,"
Shakira,Las Mujeres Ya No Lloran,LP,March 22,April 22,1.0,★,,"pop, latin, female vocalists, spanish,"
The Veronicas,Gothic Summer,LP,March 22,March 27,1.0,★,,"pop rock, pop, female vocalists, australian,"
Justin Timberlake,Everything I Thought It Was,LP,March 15,March 21,1.0,★,,"pop, rnb, dance, male vocalists,"
Kim Petras,Slut Pop Miami,LP,February 14,February 14,0.5,✬,,"pop, german, electropop, female vocalists,"
